iter	Passed	Remaining
410	4134	5925
411	4144	5915
412	4154	5905
413	4164	5895
414	4174	5884
415	4185	5875
416	4194	5864
417	4204	5854
418	4215	5844
419	4224	5833
420	4234	5824
421	4243	5812
422	4253	5801
423	4262	5790
424	4271	5779
425	4280	5767
426	4289	5755
427	4298	5745
428	4307	5733
429	4317	5723
430	4326	5711
431	4335	5700
432	4345	5689
433	4353	5678
434	4365	5669
435	4377	5662
436	4389	5655
437	4404	5651
438	4416	5643
439	4427	5634
440	4437	5625
441	4447	5614
442	4457	5604
443	4467	5594
444	4477	5584
445	4486	5573
446	4496	5563
447	4505	5551
448	4515	5540
449	4524	5529
450	4533	5518
451	4541	5506
452	4550	5494
453	4560	5484
454	4569	5473
455	4579	5462
456	4587	5451
457	4596	5439
458	4605	5428
459	4616	5419
460	4625	5408
461	4634	5396
462	4644	5386
463	4652	5374
464	4662	5364
465	4671	5353
466	4682	5343
467	4692	5333
468	4701	5322
469	4711	5312
470	4721	5303
471	4731	5293
472	4741	5282
473	4749	5270
474	4759	5260
475	4770	5251
476	4780	5241
477	4790	5231
478	4800	5221
479	4811	5212
480	4822	5203
481	4832	5193
482	4844	5185
483	4854	5175
484	4865	5165
485	4876	5157
486	4888	5149
487	4899	5140
488	4911	5132
489	4921	5122
490	4930	5111
491	4940	5101
492	4951	5092
493	4970	5090
494	4988	5089
495	5003	5084
496	5015	5076
497	5027	5067
498	5039	5059
499	5049	5049
500	5059	5039
501	5070	5029
502	5080	5019
503	5091	5010
504	5102	5001
505	5112	4991
506	5124	4982
507	5134	4972
508	5143	4962
509	5154	4952
510	5165	4942
511	5175	4932
512	5186	4923
513	5196	4913
514	5207	4904
515	5217	4894
516	5227	4883
517	5238	4874
518	5250	4865
519	5261	4856
520	5272	4847
521	5283	4837
522	5292	4827
523	5303	4817
524	5313	4807
525	5323	4796
526	5333	4786
527	5343	4776
528	5353	4766
529	5363	4756
530	5373	4746
531	5384	4736
532	5394	4726
533	5404	4716
534	5415	4706
535	5425	4696
536	5435	4686
537	5445	4675
538	5456	4666
539	5466	4656
540	5476	4646
541	5487	4636
542	5498	4627
543	5507	4616
544	5518	4607
545	5529	4597
546	5540	4588
547	5552	4579
548	5562	4569
549	5573	4560
550	5584	4550
551	5595	4541
552	5605	4530
553	5616	4521
554	5626	4511
555	5635	4500
556	5646	4490
557	5656	4480
558	5666	4470
559	5677	4460
560	5687	4450
561	5698	4441
562	5710	4432
563	5721	4422
564	5731	4412
565	5742	4402
566	5752	4393
567	5763	4383
568	5773	4373
569	5783	4363
570	5794	4353
571	5804	4342
572	5814	4332
573	5824	4322
574	5833	4312
575	5844	4302
576	5855	4292
577	5865	4282
578	5875	4271
579	5884	4261
580	5894	4251
581	5904	4240
582	5915	4230
583	5925	4220
584	5934	4210
585	5944	4199
586	5955	4189
587	5965	4179
588	5975	4169
589	5984	4158
590	5995	4148
591	6005	4138
592	6015	4128
593	6025	4118
594	6034	4107
595	6044	4097
596	6054	4087
597	6064	4076
598	6074	4066
599	6084	4056
600	6094	4045
601	6104	4035
602	6114	4025
603	6125	4016
604	6136	4006
605	6146	3996
606	6157	3986
607	6167	3976
608	6177	3966
609	6188	3956
610	6197	3945
611	6208	3935
612	6217	3925
613	6228	3915
614	6238	3905
615	6248	3895
616	6258	3885
617	6269	3875
618	6279	3865
619	6290	3855
620	6300	3845
621	6310	3835
622	6321	3825
623	6330	3814
624	6341	3804
625	6351	3794
626	6360	3783
627	6371	3773
628	6381	3763
629	6391	3753
630	6402	3743
631	6412	3733
632	6422	3723
633	6433	3713
634	6442	3703
635	6453	3693
636	6463	3683
637	6473	3673
638	6483	3662
639	6493	3652
640	6503	3642
641	6513	3631
642	6522	3621
643	6532	3611
644	6541	3600
645	6552	3590
646	6561	3580
647	6571	3569
648	6581	3559
649	6590	3548
650	6601	3538
651	6611	3528
652	6621	3518
653	6631	3508
654	6641	3498
655	6652	3488
656	6663	3478
657	6673	3468
658	6685	3459
659	6696	3449
660	6706	3439
661	6716	3429
662	6726	3418
663	6736	3408
664	6745	3398
665	6755	3387
666	6765	3377
667	6774	3367
668	6784	3356
669	6794	3346
670	6803	3336
671	6815	3326
672	6825	3316
673	6835	3305
674	6844	3295
675	6854	3285
676	6864	3275
677	6874	3264
678	6884	3254
679	6893	3244
680	6903	3233
681	6913	3223
682	6923	3213
683	6933	3203
684	6944	3193
685	6953	3183
686	6964	3172
687	6973	3162
688	6983	3152
689	6993	3141
690	7003	3131
691	7013	3121
692	7023	3111
693	7032	3100
694	7042	3090
695	7052	3080
696	7062	3070
697	7072	3059
698	7081	3049
699	7092	3039
700	7101	3029
701	7112	3019
702	7121	3008
703	7131	2998
704	7142	2988
705	7152	2978
706	7162	2968
707	7173	2958
708	7182	2948
709	7193	2938
710	7203	2927
711	7215	2918
712	7225	2908
713	7235	2898
714	7245	2888
715	7255	2877
716	7264	2867
717	7275	2857
718	7284	2846
719	7295	2837
720	7306	2827
721	7317	2817
722	7328	2807
723	7338	2797
724	7349	2787
725	7359	2777
726	7369	2767
727	7379	2757
728	7390	2747
729	7400	2737
730	7410	2726
731	7420	2716
732	7430	2706
733	7440	2696
734	7450	2686
735	7461	2676
736	7472	2666
737	7481	2656
738	7492	2646
739	7502	2636
740	7512	2625
741	7522	2615
742	7531	2605
743	7542	2595
744	7553	2585
745	7563	2575
746	7573	2564
747	7583	2554
748	7593	2544
749	7604	2534
750	7614	2524
751	7625	2514
752	7636	2504
753	7646	2494
754	7655	2484
755	7666	2474
756	7677	2464
757	7688	2454
758	7699	2444
759	7709	2434
760	7721	2424
761	7732	2415
762	7742	2404
763	7753	2395
764	7764	2385
765	7775	2375
766	7785	2365
767	7796	2355
768	7806	2345
769	7816	2334
770	7826	2324
771	7836	2314
772	7845	2304
773	7855	2293
774	7866	2283
775	7875	2273
776	7885	2263
777	7896	2253
778	7906	2242
779	7916	2232
780	7926	2222
781	7936	2212
782	7946	2202
783	7955	2191
784	7966	2181
785	7975	2171
786	7985	2161
787	7995	2151
788	8005	2140
789	8016	2130
790	8025	2120
791	8035	2110
792	8046	2100
793	8056	2090
794	8066	2080
795	8077	2069
796	8086	2059
797	8097	2049
798	8107	2039
799	8117	2029
800	8127	2019
801	8138	2009
802	8148	1999
803	8158	1988
804	8168	1978
805	8180	1968
806	8190	1958
807	8200	1948
808	8210	1938
809	8220	1928
810	8231	1918
811	8241	1908
812	8251	1897
813	8262	1887
814	8272	1877
815	8281	1867
816	8292	1857
817	8302	1847
818	8312	1837
819	8323	1827
820	8332	1816
821	8343	1806
822	8352	1796
823	8363	1786
824	8373	1776
825	8382	1765
826	8392	1755
827	8402	1745
828	8412	1735
829	8422	1725
830	8432	1714
831	8443	1704
832	8452	1694
833	8462	1684
834	8473	1674
835	8482	1664
836	8492	1653
837	8503	1643
838	8512	1633
839	8522	1623
840	8532	1613
841	8542	1602
842	8551	1592
843	8561	1582
844	8571	1572
845	8580	1561
846	8591	1551
847	8601	1541
848	8610	1531
849	8621	1521
850	8630	1511
851	8641	1501
852	8651	1490
853	8662	1480
854	8672	1470
855	8682	1460
856	8692	1450
857	8702	1440
858	8711	1429
859	8722	1419
860	8732	1409
861	8741	1399
862	8751	1389
863	8761	1379
864	8770	1368
865	8780	1358
866	8790	1348
867	8800	1338
868	8810	1328
869	8821	1318
870	8832	1308
871	8842	1297
872	8852	1287
873	8862	1277
874	8873	1267
875	8885	1257
876	8895	1247
877	8907	1237
878	8918	1227
879	8928	1217
880	8939	1207
881	8949	1197
882	8958	1187
883	8969	1176
884	8979	1166
885	8989	1156
886	9000	1146
887	9010	1136
888	9020	1126
889	9029	1116
890	9038	1105
891	9049	1095
892	9058	1085
893	9068	1075
894	9078	1065
895	9088	1054
896	9098	1044
897	9107	1034
898	9117	1024
899	9126	1014
900	9136	1003
901	9146	993
902	9156	983
903	9165	973
904	9175	963
905	9187	953
906	9198	943
907	9207	932
908	9217	922
909	9226	912
910	9236	902
911	9246	892
912	9256	882
913	9266	871
914	9275	861
915	9285	851
916	9296	841
917	9305	831
918	9316	821
919	9327	811
920	9336	800
921	9347	790
922	9356	780
923	9366	770
924	9377	760
925	9388	750
926	9399	740
927	9409	730
928	9419	719
929	9428	709
930	9438	699
931	9448	689
932	9458	679
933	9467	669
934	9478	658
935	9488	648
936	9499	638
937	9509	628
938	9519	618
939	9530	608
940	9540	598
941	9549	587
942	9560	577
943	9570	567
944	9580	557
945	9590	547
946	9599	537
947	9610	527
948	9620	516
949	9630	506
950	9641	496
951	9653	486
952	9663	476
953	9673	466
954	9681	456
955	9691	446
956	9699	435
957	9709	425
958	9718	415
959	9727	405
960	9736	395
961	9744	384
962	9753	374
963	9761	364
964	9770	354
965	9779	344
966	9788	334
967	9796	323
968	9806	313
969	9814	303
970	9824	293
971	9833	283
972	9842	273
973	9850	262
974	9859	252
975	9867	242
976	9876	232
977	9884	222
978	9893	212
979	9902	202
980	9911	191
981	9921	181
982	9930	171
983	9940	161
984	9950	151
985	9959	141
986	9969	131
987	9978	121
988	9989	111
989	9999	101
990	10009	90
991	10019	80
992	10027	70
993	10036	60
994	10044	50
995	10053	40
996	10062	30
997	10072	20
998	10081	10
999	10090	0
