Country of Registration,Event,Event Start Date,Event End Date,Name of vessel,Vessel Type,Main fishing gear,Subsidiary fishing gear 1,LOA,Tonnage GT,Power of main engine,MMSIstr
ITA,MOD,2013-12-13,2014-09-07,STEFANIA,FX,OTB,PTM,24.7,110.0,478.0,247071060
ITA,MOD,2014-09-08,2015-03-22,STEFANIA,FX,OTB,PTM,24.7,110.0,478.0,247071060
ITA,MOD,2015-03-23,2015-05-18,STEFANIA,FX,OTB,PTM,24.7,110.0,478.0,247071060
ITA,MOD,2015-05-19,2017-01-19,STEFANIA,FX,OTB,PTM,24.7,110.0,478.0,247071060
ITA,MOD,2017-01-20,2100-12-31,STEFANIA,FX,OTB,PTM,24.7,110.0,478.0,247071060
ITA,MOD,2020-11-27,2021-03-30,ANGELO PADRE II,FX,OTB,NO,23.01,94.0,477.95,247091080
ITA,MOD,2021-03-31,2021-04-19,ANGELO PADRE II,FX,OTB,NO,23.01,94.0,477.95,247091080
ITA,MOD,2021-04-20,2021-04-28,ANNA MADRE,FX,OTB,NO,23.01,94.0,477.95,247091080
ITA,MOD,2021-04-29,2100-12-31,ANNA MADRE,FX,OTB,NO,23.01,94.0,477.95,247091080
ITA,MOD,2020-08-25,2100-12-31,ROBERTO,FX,OTB,LLS,13.23,13.0,106.5,247303710
ITA,MOD,2023-01-15,2025-04-13,MERCURIO,FX,OTB,NO,14.87,28.0,166.8,247043280
ITA,MOD,2025-04-14,2100-12-31,MERCURIO I,FX,OTB,NO,14.87,28.0,166.8,247043280
ITA,MOD,2020-08-25,2100-12-31,CINZIA,FX,OTB,LLS,13.2,16.0,109.5,247131690
ITA,MOD,2020-08-25,2020-10-13,ESPERO,FX,OTB,GNS,14.33,22.0,235.0,247151140
ITA,MOD,2020-10-14,2100-12-31,ESPERO,FX,OTB,GNS,14.33,22.0,235.0,247151140
ITA,MOD,2020-08-25,2100-12-31,SAN PIO,FX,OTB,NO,14.26,27.0,176.5,247113710
ITA,MOD,2020-08-25,2021-05-05,ALADINO,FX,OTB,GNS,11.52,9.0,53.0,247016230
ITA,MOD,2021-05-06,2022-02-16,ALADINO,FX,OTB,GNS,11.52,9.0,53.0,247016230
ITA,MOD,2022-02-17,2100-12-31,ALADINO,FX,OTB,GNS,11.52,9.0,53.0,247016230
ITA,MOD,2017-12-05,2100-12-31,MINA,FX,OTB,LLS,20.75,40.0,222.0,247048870
ITA,MOD,2020-08-25,2023-08-29,FANTE DI PICCHE,FX,OTB,GNS,25.0,96.0,246.3,247100520
ITA,MOD,2023-08-30,2025-03-31,FANTE DI PICCHE,FX,OTB,NO,25.0,96.0,246.3,247100520
ITA,MOD,2025-04-01,2100-12-31,FANTE DI PICCHE,FX,OTB,NO,25.0,96.0,246.3,247100520
ITA,MOD,2023-10-24,2100-12-31,PITOGRAND,FX,OTB,SB,14.21,25.0,95.6,247125120
ITA,MOD,2025-05-14,2100-12-31,GIULIANA,FX,OTB,NO,14.98,30.0,187.0,247074210
ITA,MOD,2017-07-14,2100-12-31,MONTERREY,FX,OTB,GNS,21.18,67.0,316.0,247084470
ITA,MOD,2021-06-25,2100-12-31,CAROLINA,FX,OTB,GNS,13.46,18.0,110.0,247127140
ITA,MOD,2024-07-31,2100-12-31,ANTONINO GENOVESE,FX,OTB,LLS,28.45,168.0,514.7,247147140
ITA,MOD,2016-12-27,2023-11-22,SQUALO III,FX,OTB,PS,19.8,50.0,145.5,247045250
ITA,MOD,2023-11-23,2100-12-31,SQUALO III,FX,OTB,PS,19.8,50.0,145.5,247045250
ITA,MOD,2021-12-30,2025-01-01,AUSONIA,FX,OTB,PS,18.25,41.0,206.0,247122830
ITA,MOD,2025-01-02,2100-12-31,AUSONIA,FX,OTB,PS,18.25,41.0,206.0,247122830
ITA,MOD,2020-08-25,2100-12-31,AGOSTINO PADRE III,FX,OTB,PS,14.26,27.0,171.5,247147080
ITA,MOD,2020-08-25,2021-03-18,UCCIU BURRASCHIA,FX,OTB,GNS,14.28,9.0,104.5,247129130
ITA,MOD,2021-03-19,2021-03-29,UCCIU BURRASCHIA,FX,OTB,GNS,14.28,9.0,219.0,247129130
ITA,MOD,2021-03-30,2021-04-14,UCCIU BURRASCHIA,FX,OTB,GNS,14.28,9.0,219.0,247129130
ITA,MOD,2021-04-15,2100-12-31,UCCIU BURRASCHIA,FX,OTB,GNS,14.28,9.0,219.0,247129130
ITA,MOD,2020-08-25,2100-12-31,JOLLY,FX,OTB,GNS,13.18,11.0,109.5,247079290
ITA,MOD,2020-08-25,2025-02-13,SAN GREGORIO,FX,OTB,LLS,11.25,10.0,73.5,247068350
ITA,MOD,2025-02-14,2025-03-13,SAN GREGORIO,FX,OTB,LLS,11.25,10.0,73.5,247068350
ITA,MOD,2025-03-14,2025-04-07,SAN GREGORIO,FX,OTB,LLS,11.25,10.0,73.5,247068350
ITA,MOD,2025-04-08,2025-04-23,SAN GREGORIO,FX,OTB,LLS,11.25,10.0,73.5,247068350
ITA,MOD,2025-04-24,2100-12-31,ANDREA I,FX,OTB,LLS,11.25,10.0,73.5,247068350
